;SYNEC_CELL.ML;PROC_CELL.ML;BACT_HETERO_CELL.ML;Prokaryotes_CELL.ML
FSP-1;18100;125;1.00E+06;1018225
FSP-10;110;223;66800;67133
FSP-100;14100;23300;472000;509400
FSP-101;625;60;30900;31585
FSP-102;177;203;16200;16580
FSP-103;17000;2300;841000;860300
FSP-104;50800;2680;853000;906480
FSP-105;50;237;14100;14387
FSP-106;6040;1900;601000;608940
FSP-107;76200;2960;1160000;1239160
FSP-108;203;227;22700;23130
FSP-109;263;367;162000;162630
FSP-11;230;200;25000;25430
FSP-110;35700;13700;650000;699400
FSP-111;7090;23200;330000;360290
FSP-112;397;167;92600;93164
FSP-113;3610;15700;199000;218310
FSP-114;6060;37100;237000;280160
FSP-115;160;190;125000;125350
FSP-116;100;290;30700;31090
FSP-117;80;76.7;12500;12656.7
FSP-118;6930;3610;570000;580540
FSP-119;2140;11800;207000;220940
FSP-12;9150;2090;964000;975240
FSP-120;93.3;100;15000;15193.3
FSP-121;120;363;22400;22883
FSP-122;350;300;21700;22350
FSP-123;120;117;10500;10737
FSP-124;9750;3110;505000;517860
FSP-125;390;970;107000;108360
FSP-126;2670;905;448000;451575
FSP-127;8840;223;720000;729063
FSP-128;460;1420;39800;41680
FSP-129;630;360;96000;96990
FSP-13;3620;571000;372000;946620
FSP-130;27000;283;736000;763283
FSP-131;4110;9640;415000;428750
FSP-132;27400;4290;770000;801690
FSP-133;34300;21700;1050000;1106000
FSP-134;5250;34800;219000;259050
FSP-135;307;247;26800;27354
FSP-136;28800;7400;792000;828200
FSP-137;12500;11000;644000;667500
FSP-138;40;320;22600;22960
FSP-139;2570;17200;315000;334770
FSP-14;6640;940;63800;71380
FSP-140;21700;18500;410000;450200
FSP-141;810;303;102000;103113
FSP-142;70;323;74600;74993
FSP-143;51300;4550;769000;824850
FSP-144;26300;2830;1180000;1209130
FSP-145;16500;8820;388000;413320
FSP-146;40800;5120;1330000;1375920
FSP-148;26400;63100;815000;904500
FSP-149;3130;4760;577000;584890
FSP-16;50;10;31300;31360
FSP-17;230;143;61400;61773
FSP-18;120;327;52500;52947
FSP-19;26500;6210;503000;535710
FSP-2;723;5920;218000;224643
FSP-20;157;243;13200;13600
FSP-21;147;283;27600;28030
FSP-22;1430;662;19200;21292
FSP-23;6820;847;634000;641667
FSP-24;2890;11600;209000;223490
FSP-25;9270;6730;212000;228000
FSP-26;25100;43100;421000;489200
FSP-27;16.7;83.3;82400;82500
FSP-28;150;420;14600;15170
FSP-29;107;96.7;6550;6753.7
FSP-3;8870;22300;554000;585170
FSP-30;720;2760;116000;119480
FSP-31;28000;10600;1030000;1068600
FSP-32;6000;713000;466000;1185000
FSP-33;40;223;13000;13263
FSP-34;28800;7490;837000;873290
FSP-37;6450;213;818000;824663
FSP-38;4990;21600;230000;256590
FSP-39;8230;15000;491000;514230
FSP-4;26900;7820;475000;509720
FSP-40;510;40;24000;24550
FSP-41;3480;3480;304000;310960
FSP-42;5530;1100;452000;458630
FSP-43;6440;256;104000;110696
FSP-44;2170;2540;555000;559710
FSP-45;21000;6690;557000;584690
FSP-46;5850;27000;288000;320850
FSP-47;480;730;992000;993210
FSP-48;1060;620;410000;411680
FSP-49;22800;7100;450000;479900
FSP-5;90;88.3;16200;16378.3
FSP-50;230;360;28900;29490
FSP-51;123;713;20;856
FSP-52;41600;8860;847000;897460
FSP-53;330;163;16500;16993
FSP-54;49200;1600;759000;809800
FSP-55;80;427;18500;19007
FSP-56;49900;4450;1330000;1384350
FSP-58;54400;2730;1140000;1197130
FSP-59;66.7;223;12900;13189.7
FSP-6;3750;883;393000;397633
FSP-60;59600;15500;1160000;1235100
FSP-61;5520;15500;504000;525020
FSP-62;11400;8590;515000;534990
FSP-63;16300;16800;407000;440100
FSP-64;3340;7000;512000;522340
FSP-65;3470;8190;159000;170660
FSP-66;1700;1820;23500;27020
FSP-67;11800;877;491000;503677
FSP-68;21900;513;953000;975413
FSP-69;12900;2760;669000;684660
FSP-7;333;607;49600;50540
FSP-70;13100;2960;844000;860060
FSP-71;1310;17300;191000;209610
FSP-72;63.3;440;28600;29103.3
FSP-73;94400;17900;1410000;1522300
FSP-74;7080;375;499000;506455
FSP-75;1310;14800;166000;182110
