;coordN;coordE;sample_depth
FSP-1;-45.62;-25.04;-34
FSP-10;-43.57;-24.29;-251
FSP-100;-43.97;-25.7;-1239
FSP-101;-41.98;-25.2;-248
FSP-102;-42.44;-24.29;-1189
FSP-103;-42.12;-23.21;-42
FSP-104;-43.92;-23.59;-4
FSP-105;-45.1;-26.65;-2257
FSP-106;-42.83;-25.73;-3
FSP-107;-46.61;-25.29;-3
FSP-108;-45.47;-27.06;-898
FSP-109;-41.52;-24.24;-888
FSP-11;-43.51;-26.54;-1189
FSP-110;-46.79;-26.38;-3
FSP-111;-46.79;-26.38;-50
FSP-112;-45.92;-26.83;-250
FSP-113;-45.92;-26.83;-139
FSP-114;-43.72;-26.15;-6
FSP-115;-43.72;-26.15;-69
FSP-116;-43.72;-26.15;-248
FSP-117;-43.72;-26.15;-892
FSP-118;-43.72;-26.15;-2175
FSP-119;-42.77;-23.64;-67
FSP-12;-45.62;-25.04;-3
FSP-120;-41.98;-25.2;-2076
FSP-121;-45.1;-26.65;-899
FSP-122;-41.52;-24.24;-4
FSP-123;-42.83;-25.73;-2186
FSP-124;-46.39;-27.35;-2
FSP-125;-45.1;-26.65;-249
FSP-126;-41.52;-24.24;-247
FSP-127;-47.74;-25.89;-4
FSP-128;-43.34;-24.74;-900
FSP-129;-45.85;-27.49;-250
FSP-13;-41.35;-24.53;-110
FSP-130;-46.87;-25.06;-3
FSP-131;-45.92;-26.83;-4
FSP-132;-47.39;-27.1;-3
FSP-133;-48.1;-26.93;-3
FSP-134;-46.39;-27.35;-51
FSP-135;-45.92;-26.83;-900
FSP-136;-45.79;-26.03;-3
FSP-137;-45.79;-26.03;-66
FSP-138;-43.1;-25.2;-900
FSP-139;-42.62;-26.14;-98
FSP-14;-43.77;-23.89;-4
FSP-140;-46.11;-25.74;-31
FSP-141;-42.83;-25.73;-250
FSP-142;-45.79;-26.03;-250
FSP-143;-46.11;-25.74;-4
FSP-144;-47.43;-26.05;-3
FSP-145;-44.09;-23.26;-27
FSP-146;-44.09;-23.26;-4
FSP-148;-45.1;-25.64;-5
FSP-149;-45.1;-25.64;-70
FSP-16;-45.85;-27.49;-901
FSP-17;-42.67;-23.84;-249
FSP-18;-45.1;-25.64;-249
FSP-19;-48.06;-25.72;-18
FSP-2;-41.78;-23.8;-244
FSP-20;-42.21;-24.74;-2028
FSP-21;-42.62;-26.14;-892
FSP-22;-44.42;-26.43;-2272
FSP-23;-42.67;-23.84;-4
FSP-24;-43.57;-24.29;-73
FSP-25;-41.97;-23.47;-49
FSP-26;-46.43;-26.56;-35
FSP-27;-41.35;-24.53;-250
FSP-28;-45.47;-27.06;-2212
FSP-29;-41.35;-24.53;-2275
FSP-3;-41.78;-23.8;-59
FSP-30;-43.1;-25.2;-86
FSP-31;-48.46;-26.84;-4
FSP-32;-43.51;-26.54;-6
FSP-33;-43.51;-26.54;-892
FSP-34;-43.1;-25.2;-3
FSP-37;-44.81;-24.18;-24
FSP-38;-44.42;-26.43;-64
FSP-39;-44.42;-26.43;-6
FSP-4;-41.97;-23.47;-4
FSP-40;-42.62;-26.14;-246
FSP-41;-43.77;-23.89;-41
FSP-42;-43.57;-24.29;-4
FSP-43;-43.97;-25.7;-6
FSP-44;-41.98;-25.2;-4
FSP-45;-44.94;-23.71;-30
FSP-46;-45.85;-27.49;-85
FSP-47;-42.92;-23.33;-45
FSP-48;-41.35;-24.53;-5
FSP-49;-47.75;-27.01;-24
FSP-5;-43.97;-25.7;-248
FSP-50;-42.21;-24.74;-892
FSP-51;-44.42;-26.43;-894
FSP-52;-46.43;-26.56;-4
FSP-53;-43.97;-25.7;-893
FSP-54;-41.78;-23.8;-5
FSP-55;-43.1;-25.2;-1200
FSP-56;-46.29;-24.25;-4
FSP-58;-48.06;-25.72;-3
FSP-59;-43.1;-25.2;-2101
FSP-6;-42.62;-26.14;-5
FSP-60;-42.27;-22.96;-15
FSP-61;-44.47;-24.81;-6
FSP-62;-45.85;-27.49;-2
FSP-63;-48.1;-26.93;-18
FSP-64;-41.52;-24.24;-131
FSP-65;-44.65;-24.48;-34
FSP-66;-44.22;-25.26;-251
FSP-67;-47.74;-25.89;-23
FSP-68;-46.07;-24.51;-4
FSP-69;-46.07;-24.51;-31
FSP-7;-46.93;-27.22;-249
FSP-70;-45.84;-24.77;-3
FSP-71;-42.83;-25.73;-86
FSP-72;-44.83;-25.95;-894
FSP-73;-43.07;-23.03;-4
