"";"estrato";"sample_depth";"coordN";"coordE";"cruise"
"FSP-1";"DCM";-34;-45.62;-25.04;"C1"
"FSP-10";"250M";-251;-43.57;-24.29;"C1"
"FSP-100";"1200M";-1239;-43.97;-25.7;"C1"
"FSP-101";"250M";-248;-41.98;-25.2;"C1"
"FSP-102";"1200M";-1189;-42.44;-24.29;"C1"
"FSP-103";"DCM";-42;-42.12;-23.21;"C1"
"FSP-104";"SRF";-4;-43.92;-23.59;"C1"
"FSP-105";"2300M";-2257;-45.1;-26.65;"C1"
"FSP-106";"SRF";-3;-42.83;-25.73;"C1"
"FSP-107";"SRF";-3;-46.61;-25.29;"C1"
"FSP-108";"900M";-898;-45.47;-27.06;"C1"
"FSP-109";"900M";-888;-41.52;-24.24;"C1"
"FSP-11";"1200M";-1189;-43.51;-26.54;"C1"
"FSP-110";"SRF";-3;-46.79;-26.38;"C1"
"FSP-111";"DCM";-50;-46.79;-26.38;"C1"
"FSP-112";"250M";-250;-45.92;-26.83;"C1"
"FSP-113";"DCM";-139;-45.92;-26.83;"C1"
"FSP-114";"SRF";-6;-43.72;-26.15;"C1"
"FSP-115";"DCM";-69;-43.72;-26.15;"C1"
"FSP-116";"250M";-248;-43.72;-26.15;"C1"
"FSP-117";"900M";-892;-43.72;-26.15;"C1"
"FSP-118";"2300M";-2175;-43.72;-26.15;"C1"
"FSP-119";"DCM";-67;-42.77;-23.64;"C1"
"FSP-12";"SRF";-3;-45.62;-25.04;"C1"
"FSP-120";"2300M";-2076;-41.98;-25.2;"C1"
"FSP-121";"900M";-899;-45.1;-26.65;"C1"
"FSP-122";"SRF";-4;-41.52;-24.24;"C1"
"FSP-123";"2300M";-2186;-42.83;-25.73;"C1"
"FSP-124";"SRF";-2;-46.39;-27.35;"C1"
"FSP-125";"250M";-249;-45.1;-26.65;"C1"
"FSP-126";"250M";-247;-41.52;-24.24;"C1"
"FSP-127";"SRF";-4;-47.74;-25.89;"C1"
"FSP-128";"900M";-900;-43.34;-24.74;"C1"
"FSP-129";"250M";-250;-45.85;-27.49;"C1"
"FSP-13";"DCM";-110;-41.35;-24.53;"C1"
"FSP-130";"SRF";-3;-46.87;-25.06;"C1"
"FSP-131";"SRF";-4;-45.92;-26.83;"C1"
"FSP-132";"SRF";-3;-47.39;-27.1;"C1"
"FSP-133";"SRF";-3;-48.1;-26.93;"C1"
"FSP-134";"DCM";-51;-46.39;-27.35;"C1"
"FSP-135";"900M";-900;-45.92;-26.83;"C1"
"FSP-136";"SRF";-3;-45.79;-26.03;"C1"
"FSP-137";"DCM";-66;-45.79;-26.03;"C1"
"FSP-138";"900M";-900;-43.1;-25.2;"C1"
"FSP-139";"DCM";-98;-42.62;-26.14;"C1"
"FSP-14";"SRF";-4;-43.77;-23.89;"C1"
"FSP-140";"DCM";-31;-46.11;-25.74;"C1"
"FSP-141";"250M";-250;-42.83;-25.73;"C1"
"FSP-142";"250M";-250;-45.79;-26.03;"C1"
"FSP-143";"SRF";-4;-46.11;-25.74;"C1"
"FSP-144";"SRF";-3;-47.43;-26.05;"C1"
"FSP-145";"DCM";-27;-44.09;-23.26;"C1"
"FSP-146";"SRF";-4;-44.09;-23.26;"C1"
"FSP-148";"SRF";-5;-45.1;-25.64;"C1"
"FSP-149";"DCM";-70;-45.1;-25.64;"C1"
"FSP-16";"900M";-901;-45.85;-27.49;"C1"
"FSP-17";"250M";-249;-42.67;-23.84;"C1"
"FSP-18";"250M";-249;-45.1;-25.64;"C1"
"FSP-19";"DCM";-18;-48.06;-25.72;"C1"
"FSP-2";"250M";-244;-41.78;-23.8;"C1"
"FSP-20";"2300M";-2028;-42.21;-24.74;"C1"
"FSP-21";"900M";-892;-42.62;-26.14;"C1"
"FSP-22";"2300M";-2272;-44.42;-26.43;"C1"
"FSP-23";"SRF";-4;-42.67;-23.84;"C1"
"FSP-24";"DCM";-73;-43.57;-24.29;"C1"
"FSP-25";"DCM";-49;-41.97;-23.47;"C1"
"FSP-26";"DCM";-35;-46.43;-26.56;"C1"
"FSP-27";"250M";-250;-41.35;-24.53;"C1"
"FSP-28";"2300M";-2212;-45.47;-27.06;"C1"
"FSP-29";"2300M";-2275;-41.35;-24.53;"C1"
"FSP-3";"DCM";-59;-41.78;-23.8;"C1"
"FSP-30";"DCM";-86;-43.1;-25.2;"C1"
"FSP-31";"SRF";-4;-48.46;-26.84;"C1"
"FSP-32";"SRF";-6;-43.51;-26.54;"C1"
"FSP-33";"900M";-892;-43.51;-26.54;"C1"
"FSP-34";"SRF";-3;-43.1;-25.2;"C1"
"FSP-37";"DCM";-24;-44.81;-24.18;"C1"
"FSP-38";"DCM";-64;-44.42;-26.43;"C1"
"FSP-39";"SRF";-6;-44.42;-26.43;"C1"
"FSP-4";"SRF";-4;-41.97;-23.47;"C1"
"FSP-40";"250M";-246;-42.62;-26.14;"C1"
"FSP-41";"DCM";-41;-43.77;-23.89;"C1"
"FSP-42";"SRF";-4;-43.57;-24.29;"C1"
"FSP-43";"SRF";-6;-43.97;-25.7;"C1"
"FSP-44";"SRF";-4;-41.98;-25.2;"C1"
"FSP-45";"DCM";-30;-44.94;-23.71;"C1"
"FSP-46";"DCM";-85;-45.85;-27.49;"C1"
"FSP-47";"DCM";-45;-42.92;-23.33;"C1"
"FSP-48";"SRF";-5;-41.35;-24.53;"C1"
"FSP-49";"DCM";-24;-47.75;-27.01;"C1"
"FSP-5";"250M";-248;-43.97;-25.7;"C1"
"FSP-50";"900M";-892;-42.21;-24.74;"C1"
"FSP-51";"900M";-894;-44.42;-26.43;"C1"
"FSP-52";"SRF";-4;-46.43;-26.56;"C1"
"FSP-53";"900M";-893;-43.97;-25.7;"C1"
