;temp;sal;density;clo_a;spm;poc;pon;poc_pon;od_Lab;no2;no3;po4;siO4;nh4;ph_lab;cruise
FSP-1;20.45;35.43;23.22;1.11;2.81;53.3;6.11;8.73;6.2;0.05;1.21;0.34;6.21;0.57;8.24;1
FSP-10;14.69;35.46;26.46;0.01;0.01;4.25;0.46;9.15;6.4;0.01;7.18;0.58;2.4;0.05;8.19;1
FSP-100;3.47;34.51;27.64;0.03;1.68;10.65;0.9;11.83;6.338474646;0;32.99;0.79;43.14;0.08;8.14;1
FSP-101;17.21;35.83;26.14;0.01;2.11;10.11;0.88;11.44;6.58;0.05;4.23;0.43;1.4;0.63;8.39;1
FSP-102;3.47;34.47;27.61;0.02;1.96;4.01;0.48;8.3;6.22;0;38.32;2.67;48.69;0.14;8.01;1
FSP-103;17.81;35.95;25.15;3.59;4.12;22.9;2.52;9.08;6.81;0.27;3.68;0.42;1.87;0.11;8.37;1
FSP-104;21.36;35.91;25.13;0.35;0.47;10.2;1.16;8.79;7.32;0.01;0.26;0.11;0.62;0.11;8.29;1
FSP-105;3.21;34.94;28.03;0.03;0.17;37.11;2.75;13.49;8.05;0;20.84;1.31;24.62;0.32;8;1
FSP-106;22.23;36.75;25.5;0.09;0;17.17;2.22;7.72;7.03;0;0.28;0;0.99;0.43;8.25;1
FSP-107;18.2;33.26;23.5;0.53;0.04;65.37;11.72;5.58;7.526829711;0.08;0.08;0.28;0.08;0.38;8.35;1
FSP-108;5.04;34.36;27.32;0.02;0.01;15.29;1.02;15;6.911797462;0.04;32.46;0.96;21.81;0.16;7.99;1
FSP-109;4.65;34.38;27.38;0.02;2.15;7.19;0.65;11.08;6.483242126;0.02;44.26;3;37.14;0.42;8.41;1
FSP-11;3.98;34.37;27.46;0.02;1.6;18.86;1.15;16.4;6.665736571;0.05;34.78;2.22;36.29;0.13;8.13;1
FSP-110;21.07;35.97;25.16;0.14;4;51.09;5.9;8.65;6.984881518;0.02;0.03;0.14;2.7;1.16;8.33;1
FSP-111;21.46;36.28;25.16;0.66;2.236434784;20.23481865;2.867401626;7.833569025;6.887524587;0.06;0.3;0.15;2.05;0.46;8.33;1
FSP-112;16.57;35.77;26.26;0.01;0.25;34.65;3.06;11.33;6.47;0.04;4.16;0.22;1.3;0.08;8.22;1
FSP-113;21.84;36.87;25.71;0.31;1.53;43.48;5.42;8.02;6.74;0.05;0.05;0.03;0.59;0.07;8.34;1
FSP-114;22.36;36.93;25.6;0.26;2.667576891;15.13116948;1.142701475;9.312383095;6.751433576;0.07;0.15;0.08;1.33;0.11;8.49;1
FSP-115;22.35;36.94;25.61;0.32;3.29;52.3;4.84;10.8;6.792438889;0.07;0.03;0.06;1.25;0.05;8.47;1
